einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;titelgruppe;tgr-text
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;45301;011;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen;ja;15;50;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;51101;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung;ja;15;1178;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;51401;011;Verbrauchsmittel, Haltung von Fahrzeugen und dgl.;ja;15;120;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;51701;011;Bewirtschaftung der Grundstücke, Gebäude und Räume;ja;15;2271;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;51801;011;Mieten und Pachten;ja;15;299;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;51901;011;Unterhaltung der Grundstücke und baulichen Anlagen;ja;15;1308;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;52501;011;Aus- und Fortbildung;ja;15;181;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;52604;011;Kosten der Kommission unabhängiger Sachverständiger gemäß § 18 Abs. 6 Parteiengesetz;ja;16;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;52701;011;Dienstreisen;ja;16;350;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;53201;011;Aufträge und Dienstleistungen im Bereich Informationstechnik;ja;16;216;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;53204;011;Kosten aus Anlass von Staatsbesuchen und Reisen des Bundespräsidenten im Ausland;ja;16;1600;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;53205;011;Kosten für Orden und Ehrenzeichen;ja;16;85;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;53999;011;Vermischte Verwaltungsausgaben;ja;16;668;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;71101;011;Kleine Neu-﻿, Um- und Erweiterungsbauten;ja;16;2127;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;71201;011;Baumaßnahmen von mehr als 2 000 000 € im Einzelfall;ja;16;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;81101;011;Erwerb von Fahrzeugen;ja;16;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;81201;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT);ja;16;385;;
01;Bundespräsident und Bundespräsidialamt;A;;0112;Bundespräsidialamt;81202;011;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik;ja;16;825;;
01;Bundespräsident und Bundespräsidialamt;E;Verwaltungseinnahmen;0113;Büro der Gemeinsamen Wissenschaftskonferenz;11999;011;Vermischte Einnahmen; ;18;0;;
01;Bundespräsident und Bundespräsidialamt;E;Verwaltungseinnahmen;0113;Büro der Gemeinsamen Wissenschaftskonferenz;13201;011;Erlöse aus der Veräußerung von beweglichen Sachen; ;18;0;;
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0113;Büro der Gemeinsamen Wissenschaftskonferenz;28209;011;Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen; ;18;0;;
01;Bundespräsident und Bundespräsidialamt;E;Übrige Einnahmen;0113;Büro der Gemeinsamen Wissenschaftskonferenz;38103;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7; ;18;0;;
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0113;Büro der Gemeinsamen Wissenschaftskonferenz;52901;011;Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen;nein;18;4;;
01;Bundespräsident und Bundespräsidialamt;A;Sächliche Verwaltungsausgaben;0113;Büro der Gemeinsamen Wissenschaftskonferenz;54709;011;Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden;nein;18;0;;
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0113;Büro der Gemeinsamen Wissenschaftskonferenz;98101;890;Leistungen an Bundesbehörden zur Durchführung von Aufträgen;nein;19;0;;
01;Bundespräsident und Bundespräsidialamt;A;Besondere Finanzierungsausgaben;0113;Büro der Gemeinsamen Wissenschaftskonferenz;98103;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7;nein;19;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;ja;19;579;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;42709;011;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige;ja;19;30;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;ja;19;773;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;44101;840;Beihilfen aufgrund der Beihilfevorschriften;ja;19;22;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;44301;840;Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften;ja;19;1;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;45202;223;Unfallversicherung Bund und Bahn;ja;19;2;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;45301;011;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen;ja;19;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;51801;011;Mieten und Pachten;ja;19;344;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;53201;011;Aufträge und Dienstleistungen im Bereich Informationstechnik;ja;20;4;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;53999;011;Vermischte Verwaltungsausgaben;ja;20;244;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;63403;011;Zuweisungen an den Versorgungsfonds;ja;20;135;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;71101;011;Kleine Neu-﻿, Um- und Erweiterungsbauten;ja;20;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;81101;011;Erwerb von Fahrzeugen;ja;20;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;81201;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT);ja;20;0;;
01;Bundespräsident und Bundespräsidialamt;A;;0113;Büro der Gemeinsamen Wissenschaftskonferenz;81202;011;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik;ja;20;60;;
02;Deutscher Bundestag;E;Übrige Einnahmen;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;28209;011;Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen; ;6;0;;
02;Deutscher Bundestag;E;Übrige Einnahmen;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;38101;890;Leistungen von Bundesbehörden zur Durchführung von Aufträgen; ;6;0;;
02;Deutscher Bundestag;E;Übrige Einnahmen;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;11957;018;Vermischte Einnahmen; ;6;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
02;Deutscher Bundestag;E;Übrige Einnahmen;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;23257;018;Beteiligung an den Versorgungslasten des Bundes; ;6;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
02;Deutscher Bundestag;A;Sächliche Verwaltungsausgaben;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52901;011;Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen;nein;6;533;;
02;Deutscher Bundestag;A;Sächliche Verwaltungsausgaben;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;54201;013;Öffentlichkeitsarbeit;nein;7;10729;;
02;Deutscher Bundestag;A;Sächliche Verwaltungsausgaben;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;54709;011;Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden;nein;8;0;;
02;Deutscher Bundestag;A;Sächliche Verwaltungsausgaben;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43157;018;Versorgungsbezüge sonstiger Amtsträger und deren Hinterbliebenen;nein;8;290;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
02;Deutscher Bundestag;A;Sächliche Verwaltungsausgaben;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43257;018;Versorgungsbezüge;nein;8;25800;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
02;Deutscher Bundestag;A;Sächliche Verwaltungsausgaben;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43457;018;Zuführung an die Versorgungsrücklage;nein;8;1085;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
02;Deutscher Bundestag;A;Sächliche Verwaltungsausgaben;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44357;018;Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften;nein;9;10;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
02;Deutscher Bundestag;A;Sächliche Verwaltungsausgaben;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44657;018;Beihilfen aufgrund der Beihilfevorschriften;nein;9;5300;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
02;Deutscher Bundestag;A;Sächliche Verwaltungsausgaben;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;63257;018;Erstattungen des Bundes für Versorgungslasten;nein;9;620;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
02;Deutscher Bundestag;A;;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;42401;011;Zuführung an die Versorgungsrücklage;ja;9;1248;;
02;Deutscher Bundestag;A;;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44101;840;Beihilfen aufgrund der Beihilfevorschriften;ja;9;3000;;
02;Deutscher Bundestag;A;;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44301;840;Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften;ja;9;145;;
02;Deutscher Bundestag;A;;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;45202;223;Unfallversicherung Bund und Bahn;ja;9;200;;
02;Deutscher Bundestag;A;;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52601;011;Gerichts- und ähnliche Kosten;ja;9;250;;
02;Deutscher Bundestag;A;;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52602;011;Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen;ja;9;2097;;
02;Deutscher Bundestag;A;;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52703;011;Reisen in Angelegenheiten der Personalvertretungen und der Gleichstellungsbeauftragten sowie in Vertretung der Interessen schwerbehinderter Menschen;ja;10;8;;
02;Deutscher Bundestag;A;;0211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;63403;011;Zuweisungen an den Versorgungsfonds;ja;10;7471;;
02;Deutscher Bundestag;E;Verwaltungseinnahmen;0212;Deutscher Bundestag;11101;011;Gebühren, sonstige Entgelte; ;12;385;;
02;Deutscher Bundestag;E;Verwaltungseinnahmen;0212;Deutscher Bundestag;11901;011;Einnahmen aus Veröffentlichungen; ;12;0;;
02;Deutscher Bundestag;E;Verwaltungseinnahmen;0212;Deutscher Bundestag;11999;011;Vermischte Einnahmen; ;12;153;;
02;Deutscher Bundestag;E;Verwaltungseinnahmen;0212;Deutscher Bundestag;12401;011;Einnahmen aus Vermietung, Verpachtung und Nutzung; ;12;1240;;
02;Deutscher Bundestag;E;Verwaltungseinnahmen;0212;Deutscher Bundestag;13201;011;Erlöse aus der Veräußerung von beweglichen Sachen; ;13;24;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41101;011;Entschädigungen und Amtszulagen nach § 11 Abgeordnetengesetz;nein;13;78995;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41102;011;Aufwandsentschädigungen nach § 12 Abs. 2 und 5 Abgeordnetengesetz;nein;13;36127;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41103;011;Aufwendungen für die Beschäftigung von Mitarbeitern nach § 12 Abs. 3 Abgeordnetengesetz;nein;14;246028;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41104;011;Zuschuss zu den Kosten in Krankheits-﻿, Pflege- und Geburtsfällen sowie Unterstützungen nach §§ 27 und 28 Abgeordnetengesetz;nein;14;9110;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41105;011;Übergangsgeld für ausgeschiedene Mitglieder des Deutschen Bundestages nach § 18  Abgeordnetengesetz;nein;15;8700;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41111;011;Überbrückungsgeld/Sterbegeld an Hinterbliebene sowie Versicherungen nach §§ 24, 26, 35a, 35b, 37, 38 und 41 Abgeordnetengesetz;nein;15;750;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41112;011;Altersentschädigung an ausgeschiedene Mitglieder des Deutschen Bundestages sowie Hinterbliebenenversorgung nach §§ 19 bis 22, 25, 26, 35, 35a, 35b, 35c, 37 und 38 Abgeordnetengesetz;nein;15;47800;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41113;011;Versorgungsabfindung nach §§ 23 und 40 Abgeordnetengesetz;nein;15;120;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41116;011;Inlandsdienst- und Mandatsreisen der Abgeordneten nach §§ 16 und 17 Abgeordnetengesetz;nein;15;8496;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41117;011;Auslandsdienstreisen der Abgeordneten nach § 17  Abgeordnetengesetz, ohne Reisen zum Europarat, zur Interparlamentarischen Union, NATO und Parlamentarischen Versammlung der OSZE;nein;15;5200;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41118;011;Reisen zum Europarat, zur Interparlamentarischen Union, NATO und Parlamentarischen Versammlung der OSZE;nein;15;700;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41119;011;Aufwendungen zur Nutzung des gemeinsamen Informations- und Kommunikationssystems des Deutschen Bundestages sowie für Geschäftsbedarf nach § 12  Abs. 4 Nrn. 1 und 4 Abgeordnetengesetz;nein;16;8538;;
02;Deutscher Bundestag;A;Personalausgaben;0212;Deutscher Bundestag;41120;011;Kostenerstattung für die Benutzung der Verkehrsmittel der Deutschen Bahn und der Berliner Verkehrsbetriebe durch die Mitglieder des Deutschen Bundestages;nein;16;2594;;
02;Deutscher Bundestag;A;Zuweisungen und Zuschüsse (ohne Investitionen);0212;Deutscher Bundestag;68401;011;Geldleistungen an die Fraktionen des Deutschen Bundestages;nein;16;115253;;
02;Deutscher Bundestag;A;Zuweisungen und Zuschüsse (ohne Investitionen);0212;Deutscher Bundestag;68501;011;Zuschuss an Institute zur Technikfolgenabschätzung;nein;16;2635;;
02;Deutscher Bundestag;A;Zuweisungen und Zuschüsse (ohne Investitionen);0212;Deutscher Bundestag;68502;011;Förderung des Deutschen Instituts für Menschenrechte;nein;16;2657;;
02;Deutscher Bundestag;A;Zuweisungen und Zuschüsse (ohne Investitionen);0212;Deutscher Bundestag;68512;011;Förderung von Einrichtungen für parlamentarische Zwecke;nein;16;3301;;
02;Deutscher Bundestag;A;Zuweisungen und Zuschüsse (ohne Investitionen);0212;Deutscher Bundestag;68701;011;Leistungen an internationale Organisationen/Leistungen im Zusammenhang mit internationalen Mitgliedschaften;nein;17;1360;;
02;Deutscher Bundestag;A;Zuweisungen und Zuschüsse (ohne Investitionen);0212;Deutscher Bundestag;68702;144;Förderung des deutsch-amerikanischen Jugendaustausches;nein;18;5448;;
02;Deutscher Bundestag;A;;0212;Deutscher Bundestag;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;ja;18;63389;;
02;Deutscher Bundestag;A;;0212;Deutscher Bundestag;42202;011;Bezüge und Nebenleistungen der beamteten Hilfskräfte;ja;18;529;;
02;Deutscher Bundestag;A;;0212;Deutscher Bundestag;42203;011;Bezüge der Anwärterinnen und Anwärter sowie Nebenleistungen der Beamtinnen und Beamten auf Widerruf im Vorbereitungsdienst;ja;18;317;;
02;Deutscher Bundestag;A;;0212;Deutscher Bundestag;42709;011;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige;ja;18;8339;;
02;Deutscher Bundestag;A;;0212;Deutscher Bundestag;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;ja;19;77636;;
02;Deutscher Bundestag;A;;0212;Deutscher Bundestag;42902;011;Aufwendungen der Präsidentin oder des Präsidenten des Deutschen Bundestages für das Personal in ihrer/seiner Amtswohnung;ja;19;0;;
