einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;seite;bisher;titelgruppe;tgr-text
22;Der Unabhängige Kontrollrat;A;Sächliche Verwaltungsausgaben;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52901;011;Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen;nein;-;1;5;0;;
22;Der Unabhängige Kontrollrat;A;Sächliche Verwaltungsausgaben;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;54201;013;Öffentlichkeitsarbeit;nein;-;5;6;0;;
22;Der Unabhängige Kontrollrat;A;Besondere Finanzierungsausgaben;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;98103;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7;nein;-;0;6;0;;
22;Der Unabhängige Kontrollrat;A;Besondere Finanzierungsausgaben;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;98107;890;Leistungen an Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben;nein;-;0;6;0;;
22;Der Unabhängige Kontrollrat;A;Besondere Finanzierungsausgaben;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43257;018;Versorgungsbezüge;nein;-;0;6;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
22;Der Unabhängige Kontrollrat;A;Besondere Finanzierungsausgaben;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;43457;018;Zuführung an die Versorgungsrücklage;nein;-;0;7;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
22;Der Unabhängige Kontrollrat;A;Besondere Finanzierungsausgaben;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44357;018;Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften;nein;-;0;7;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
22;Der Unabhängige Kontrollrat;A;Besondere Finanzierungsausgaben;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44657;018;Beihilfen aufgrund der Beihilfevorschriften;nein;-;0;7;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
22;Der Unabhängige Kontrollrat;A;Besondere Finanzierungsausgaben;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;45357;018;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen;nein;-;0;7;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
22;Der Unabhängige Kontrollrat;A;Besondere Finanzierungsausgaben;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;63257;018;Erstattungen des Bundes für Versorgungslasten;nein;-;0;7;0;57;Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter
22;Der Unabhängige Kontrollrat;A;;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;42401;011;Zuführung an die Versorgungsrücklage;ja;-;21;7;0;;
22;Der Unabhängige Kontrollrat;A;;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44101;840;Beihilfen aufgrund der Beihilfevorschriften;ja;-;26;7;0;;
22;Der Unabhängige Kontrollrat;A;;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;44301;840;Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften;ja;-;1;7;0;;
22;Der Unabhängige Kontrollrat;A;;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;45202;223;Unfallversicherung Bund und Bahn;ja;-;1;7;0;;
22;Der Unabhängige Kontrollrat;A;;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52601;011;Gerichts- und ähnliche Kosten;ja;-;0;7;0;;
22;Der Unabhängige Kontrollrat;A;;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52602;011;Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen;ja;-;15;7;0;;
22;Der Unabhängige Kontrollrat;A;;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52703;011;Reisen in Angelegenheiten der Personalvertretungen und der Gleichstellungsbeauftragten sowie in Vertretung der Interessen schwerbehinderter Menschen;ja;-;0;7;0;;
22;Der Unabhängige Kontrollrat;A;;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;54301;011;Veröffentlichungen und Fachinformationen;ja;-;5;7;0;;
22;Der Unabhängige Kontrollrat;A;;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;54501;011;Konferenzen, Tagungen, Messen und Ausstellungen;ja;-;5;7;0;;
22;Der Unabhängige Kontrollrat;A;;2211;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;63403;011;Zuweisungen an den Versorgungsfonds;ja;-;322;8;0;;
22;Der Unabhängige Kontrollrat;E;Verwaltungseinnahmen;2212;Der Unabhängige Kontrollrat;11999;011;Vermischte Einnahmen; ;-;0;10;0;;
22;Der Unabhängige Kontrollrat;E;Verwaltungseinnahmen;2212;Der Unabhängige Kontrollrat;13201;011;Erlöse aus der Veräußerung von beweglichen Sachen; ;-;0;10;0;;
22;Der Unabhängige Kontrollrat;E;Übrige Einnahmen;2212;Der Unabhängige Kontrollrat;38103;890;Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7; ;-;0;10;0;;
22;Der Unabhängige Kontrollrat;A;Sächliche Verwaltungsausgaben;2212;Der Unabhängige Kontrollrat;51802;011;Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement;nein;-;341;10;0;;
22;Der Unabhängige Kontrollrat;A;Besondere Finanzierungsausgaben;2212;Der Unabhängige Kontrollrat;98103;890;Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7;nein;-;0;10;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;ja;-;982;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;42203;011;Bezüge der Anwärterinnen und Anwärter sowie Nebenleistungen der Beamtinnen und Beamten auf Widerruf im Vorbereitungsdienst;ja;-;0;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;42709;011;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige;ja;-;10;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;ja;-;70;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;45301;011;Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen;ja;-;5;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;51101;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung;ja;-;71;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;51701;011;Bewirtschaftung der Grundstücke, Gebäude und Räume;ja;-;93;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;51801;011;Mieten und Pachten;ja;-;16;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;52701;011;Dienstreisen;ja;-;35;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;53201;011;Aufträge und Dienstleistungen im Bereich Informationstechnik;ja;-;180;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;53203;011;Sonstige Dienstleistungsaufträge an Dritte;ja;-;520;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;53999;011;Vermischte Verwaltungsausgaben;ja;-;51;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;71101;011;Kleine Neu-﻿, Um- und Erweiterungsbauten;ja;-;10;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;81101;011;Erwerb von Fahrzeugen;ja;-;0;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;81201;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT);ja;-;184;11;0;;
22;Der Unabhängige Kontrollrat;A;;2212;Der Unabhängige Kontrollrat;81202;011;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik;ja;-;1720;12;0;;
30;Bundesministerium für Bildung und Forschung;A;;3002;Leistungsfähigkeit des Bildungswesens, Nachwuchsförderung;68541;144;Stärkung der Leistungsfähigkeit des Bildungswesens;nein;17;157968;4;137968;40;Stärkung des Lernens im Lebenslauf
32;Bundesschuld;E;Übrige Einnahmen;3201;Kreditaufnahme;32511;830;Einnahmen aus Krediten vom Kreditmarkt; ;6;240175714;4;179820000;;
32;Bundesschuld;E;Übrige Einnahmen;3205;Verzinsung;16212;830;Zinseinnahmen aus dem Kassenmanagement des Bundes; ;8;174990;6;154990;;
32;Bundesschuld;A;Schuldendienst;3205;Verzinsung;57501;830;Zinsen für Bundesanleihen;nein;10;14020801;6;13720801;;
32;Bundesschuld;A;Schuldendienst;3205;Verzinsung;57506;830;Diskont für Unverzinsliche Schatzanweisungen;nein;10;-586478;6;-516478;;
32;Bundesschuld;A;Schuldendienst;3205;Verzinsung;57508;830;Zinsen gem. § 4 des Schlusszahlungsfinanzierungsgesetzes (SchlussFinG);nein;10;650790;6;70790;;
32;Bundesschuld;A;Schuldendienst;3205;Verzinsung;57509;830;Disagio auf Bundesanleihen, Bundesobligationen, Bundesschatzanweisungen, unverzinsliche Schatzanweisungen und Darlehen;nein;10;-4473712;6;-7993712;;
32;Bundesschuld;A;Schuldendienst;3205;Verzinsung;57521;830;Zinsen für das Kassenmanagement des Bundes;nein;10;317912;6;167912;;
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01110;820;Gesetzentwurf zur Verlängerung des erhöhten Lohnsteuereinbehalt für die Seeschifffahrt; ;-;-15000;4;0;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01111;820;Entwurf eines Zweiten Gesetzes zur steuerlichen Entlastung von Familien sowie zur Anpassung weiterer steuerlicher Regelungen (Zweites Familienentlastungsgesetz - 2. FamEntlastG); ;10;0;4;-3167000;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01121;820;Anpassung an die Entwicklung der Steuereinnahmen; ;-;-9174000;4;0;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01210;820;BMF-Anwendungsschreiben zur Nutzungsdauer von Computerhardware und Software zur Dateneingabe und -verarbeitung; ;-;-356000;4;0;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01216;820;Entwurf eines Gesetzes zur Erhöhung der Behinderten-Pauschbeträge und zur Anpassung weiterer steuerlicher Regelungen (Behinderten-Pauschbetragsgesetz); ;10;0;4;-79000;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01217;820;Entwurf eines Jahressteuergesetzes 2020 (JStG 2020); ;11;0;4;-25000;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01410;820;Entwurf eines Gesetzes zur Stärkung des Fondsstandorts Deutschland (FondsstandortgesetzFoG); ;-;-76000;4;0;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01510;820;Entwurf eines Dritten Gesetzes zur Umsetzung steuerlicher Hilfsmaßnahmen zur Bewältigung der Corona-Krise (Drittes Corona-Steuerhilfegesetz); ;-;-2003000;4;0;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01511;820;Entwurf eines Gesetzes zur Anpassung der Ergänzungszuweisungen des Bundes nach § 11 Absatz 4 Finanzausgleichsgesetz und zur Beteiligung des Bundes an den flüchtlingsbezogenen Kosten der Länder; ;11;0;4;-814000;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01515;820;Entwurf eines Grundsteuerreform-Umsetzungsgesetzes; ;-;-1231000;4;0;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;Verwaltungseinnahmen;6002;Allgemeine Bewilligungen;12104;661;Anteil des Bundes am Reingewinn der Deutschen Bundesbank; ;23;0;6;2500000;;
60;Allgemeine Finanzverwaltung;E;Übrige Einnahmen;6002;Allgemeine Bewilligungen;27201;692;Einnahmen aus dem Europäischen Just Transition Fund (JTF); ;24;0;6;0;;
60;Allgemeine Finanzverwaltung;A;Zuweisungen und Zuschüsse (ohne Investitionen);6002;Allgemeine Bewilligungen;68302;290;Corona-Unternehmenshilfen;nein;29;65000000;6;39500000;;
60;Allgemeine Finanzverwaltung;A;Zuweisungen und Zuschüsse (ohne Investitionen);6002;Allgemeine Bewilligungen;69702;342;Ausgleichszahlungen zur abschließenden Regelung gemäß 18. AtG-Novelle;nein;-;2428314;6;0;;
60;Allgemeine Finanzverwaltung;A;Besondere Finanzierungsausgaben;6002;Allgemeine Bewilligungen;97104;880;Globale Mehrausgabe für Kosten im Zusammenhang mit der Bewältigung der COVID-19-Pandemie;nein;34;35961500;7;35000000;;
