einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;seite;bisher;titelgruppe;tgr-text
17;Bundesministerium für Familie, Senioren, Frauen und Jugend;A;;1701;Gesetzliche Leistungen für die Familien;68113;231;Kinderzuschlag für Anspruchsberechtigte nach § 6 a Bundeskindergeldgesetz;nein;11;1069000;4;869000;01;Kindergeld und Kinderzuschlag nach dem Bundeskindergeldgesetz
30;Bundesministerium für Bildung und Forschung;A;;3002;Leistungsfähigkeit des Bildungswesens, Nachwuchsförderung;68545;165;Digitaler Wandel in der Bildung;nein;20;58090;4;43090;40;Stärkung des Lernens im Lebenslauf
30;Bundesministerium für Bildung und Forschung;A;;3004;Forschung für Innovationen, Hightech-Strategie;68530;165;Gesundheitsforschung und Gesundheitswirtschaft;nein;82;528051;6;383051;30;Innovation durch Lebenswissenschaften
32;Bundesschuld;E;Übrige Einnahmen;3201;Kreditaufnahme;32511;830;Einnahmen aus Krediten vom Kreditmarkt; ;6;155987192;4;0;;
32;Bundesschuld;A;Ausgaben für Investitionen;3208;Bürgschaften, Garantien und sonstige Gewährleistungen;87101;680;Entschädigungen und Kosten aus inlandsbezogenen Gewährleistungen, Zahlungen zur Abwendung oder Minderung von Schäden;nein;16;2000000;8;425000;;
32;Bundesschuld;A;Ausgaben für Investitionen;3208;Bürgschaften, Garantien und sonstige Gewährleistungen;87201;680;Entschädigungen und Kosten aus auslandsbezogenen Gewährleistungen und Umschuldungen, Zahlungen zur Abwendung oder Minderung von Schäden;nein;17;5000000;9;700000;;
60;Allgemeine Finanzverwaltung;E;;6001;Steuern;01120;820;Anpassung an die Entwicklung der Steuereinnahmen aufgrund der Corona-Pandemie; ;-;-33500000;4;0;01;Veränderungen auf Grund steuerlicher Maßnahmen und Einnahmeentwicklung
60;Allgemeine Finanzverwaltung;E;Übrige Einnahmen;6002;Allgemeine Bewilligungen;35901;850;Entnahmen aus Rücklage; ;24;10633733;6;10633733;;
60;Allgemeine Finanzverwaltung;A;Zuweisungen und Zuschüsse (ohne Investitionen);6002;Allgemeine Bewilligungen;68301;290;Corona-Soforthilfen für kleine Unternehmen und Soloselbständige;nein;-;50000000;6;0;;
60;Allgemeine Finanzverwaltung;A;Zuweisungen und Zuschüsse (ohne Investitionen);6002;Allgemeine Bewilligungen;69801;290;Erstattungsleistungen wegen der Insolvenz des Thomas-Cook-Konzerns und der Tour Vital GmbH sowie damit zusammenhängende Sach- und Personalausgaben;nein;-;198200;6;0;;
60;Allgemeine Finanzverwaltung;A;Besondere Finanzierungsausgaben;6002;Allgemeine Bewilligungen;91901;850;Zuführungen an Rücklage;nein;32;0;6;0;;
60;Allgemeine Finanzverwaltung;A;Besondere Finanzierungsausgaben;6002;Allgemeine Bewilligungen;97107;880;Globale Mehrausgabe Corona-Pandemie;nein;-;55000000;6;0;;
60;Allgemeine Finanzverwaltung;E;Verwaltungseinnahmen;6004;Bundesimmobilienangelegenheiten;12101;811;Abführung der Bundesanstalt für Immobilienaufgaben; ;87;2360000;8;2360000;;
