einzelplan;einzelplan-text;einnahmen-ausgaben;einnahmen-ausgaben-art;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll;seite;bisher;titelgruppe;tgr-text
5;Auswärtiges Amt;A;;504;Pflege kultureller Beziehungen zum Ausland;68721;24;Aufwendungen für Auslandsdienstlehrkräfte und Programmlehrkräfte;nein;45;57657;9;48457;2;Förderung des deutschen Schulwesens im Ausland und der internationalen Zusammenarbeit im Schulbereich (Schulfonds)
5;Auswärtiges Amt;A;;504;Pflege kultureller Beziehungen zum Ausland;68722;24;Zuwendungen an Schulen im Ausland;nein;46;63019;9;43019;2;Förderung des deutschen Schulwesens im Ausland und der internationalen Zusammenarbeit im Schulbereich (Schulfonds)
5;Auswärtiges Amt;A;;504;Pflege kultureller Beziehungen zum Ausland;68740;24;Goethe-Institut e. V.﻿, München - Betrieb und operative Mittel;nein;48;311736;10;241736;4;Allgemeine Auslandskulturarbeit (Institutionelle Förderung)
6;Bundesministerium des Innern, für Bau und Heimat;A;;601;Heimat, Gesellschaft und Verfassung;68514;187;Zuschuss für die Förderung der jüdischen Gemeinschaft, der christlich-jüdischen Zusammenarbeit sowie des interreligiösen und interkulturellen Dialogs;nein;13;21561;4;21561;1;Heimat und gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog
6;Bundesministerium des Innern, für Bau und Heimat;A;;601;Heimat, Gesellschaft und Verfassung;89413;187;Zuschuss für Investitionen und Baumaßnahmen zur Beförderung der christlich-jüdischen Zusammenarbeit sowie des interreligiösen Dialogs;nein;16;7100;4;7100;1;Heimat und gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog
6;Bundesministerium des Innern, für Bau und Heimat;A;;601;Heimat, Gesellschaft und Verfassung;89415;187;Einmaliger Zuschuss für Investitionen und Baumaßnahmen an den Zentralrat der Juden zur Finanzierung zusätzlicher baulicher und technischer Sicherungsmaßnahmen inländischer jüdischer Einrichtungen;nein;-;22000;4;0;1;Heimat und gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog
6;Bundesministerium des Innern, für Bau und Heimat;A;;601;Heimat, Gesellschaft und Verfassung;68426;322;Zentrale Maßnahmen auf dem Gebiet des nicht-olympischen Sports;nein;19;13900;5;13900;2;Sport
6;Bundesministerium des Innern, für Bau und Heimat;A;;601;Heimat, Gesellschaft und Verfassung;68427;322;Corona-Überbrückungshilfe für Profisportvereine;nein;-;200000;5;0;2;Sport
6;Bundesministerium des Innern, für Bau und Heimat;A;Sächliche Verwaltungsausgaben;602;IT und Netzpolitik, Digitalfunk und Moderne Verwaltung;53206;11;Registermodernisierung;nein;-;200;7;0;;
6;Bundesministerium des Innern, für Bau und Heimat;A;Sächliche Verwaltungsausgaben;602;IT und Netzpolitik, Digitalfunk und Moderne Verwaltung;53212;11;Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT);nein;-;0;7;0;1;IT und Netzpolitik
6;Bundesministerium des Innern, für Bau und Heimat;A;Sächliche Verwaltungsausgaben;602;IT und Netzpolitik, Digitalfunk und Moderne Verwaltung;53238;11;Verwaltungsdigitalisierung;nein;35;423685;7;123685;3;Moderne Verwaltung
6;Bundesministerium des Innern, für Bau und Heimat;A;Ausgaben für Investitionen;604;Wohnungswesen und Stadtentwicklung;88301;419;Förderung von Modellprojekten Smart Cities;nein;68;26000;10;19000;;
6;Bundesministerium des Innern, für Bau und Heimat;A;Ausgaben für Investitionen;604;Wohnungswesen und Stadtentwicklung;89101;423;Sanierung kommunaler Einrichtungen in den Bereichen Sport, Jugend und Kultur;nein;69;89500;10;84500;;
6;Bundesministerium des Innern, für Bau und Heimat;A;Ausgaben für Investitionen;604;Wohnungswesen und Stadtentwicklung;89103;411;"Zuschüsse für Investitionen im Rahmen des Programms ""Altersgerecht Umbauen"" der KfW-Bankengruppe";nein;70;83000;11;75500;;
6;Bundesministerium des Innern, für Bau und Heimat;A;Ausgaben für Investitionen;604;Wohnungswesen und Stadtentwicklung;88295;423;Investitionspakt Sportstätten;nein;-;10000;12;0;1;Förderung des Städtebaues
6;Bundesministerium des Innern, für Bau und Heimat;A;;625;Bundespolizei;81106;42;Erwerb von Seefahrzeugen;ja;214;14534;14;14534;;
6;Bundesministerium des Innern, für Bau und Heimat;A;Sächliche Verwaltungsausgaben;629;Bundesanstalt Technisches Hilfswerk;53204;45;Einsätze bei Katastrophen, Unglücksfällen größeren Ausmaßes und öffentlichen Notständen;nein;235;30257;16;1400;;
7;Bundesministerium der Justiz und für Verbraucherschutz;A;Zuweisungen und Zuschüsse (ohne Investitionen);710;Sonstige Bewilligungen;69801;290;Erstattungsleistungen zur Insolvenzabsicherung von Reisegutscheinen im Pauschalreisevertragsrecht in Folge der COVID-19-Pandemie sowie damit zusammenhängende Sach- und Personalausgaben;nein;-;0;4;0;;
8;Bundesministerium der Finanzen;A;Zuweisungen und Zuschüsse (ohne Investitionen);810;Sonstige Bewilligungen;63201;61;Ausgaben für die Vereinheitlichung der Software im Besteuerungsverfahren (Vorhaben KONSENS);nein;22;27500;4;27500;;
8;Bundesministerium der Finanzen;A;Zuweisungen und Zuschüsse (ohne Investitionen);810;Sonstige Bewilligungen;68701;22;Beiträge an Organisationen, Vereine und Verbände im Ausland;nein;23;42972;4;2972;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;68301;165;Zentrales Innovationsprogramm Mittelstand (ZIM), Innovationsprogramm für Geschäftsmodelle und Pionierlösungen (IGP);nein;10;562500;4;562500;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;68601;165;Industrieforschung für Unternehmen;nein;15;300554;4;250554;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;69701;45;Ausgaben im Zusammenhang mit dem Beteiligungserwerb und der -verwaltung von CureVac;nein;-;2000;5;0;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;69702;812;Ausgaben im Zusammenhang mit der Beteiligungsverwaltung der WIK;nein;-;1500;5;0;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;68312;165;Maritime Technologien - Forschung, Entwicklung und Innovation;nein;17;48067;5;46067;1;Neue Mobilität
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;89210;634;Innovativer Schiffbau sichert wettbewerbsfähige Arbeitsplätze;nein;20;45000;6;25000;1;Neue Mobilität
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;89211;634;Zukunftsinvestitionsprogramm für Fahrzeughersteller und die Zulieferindustrie sowie Forschungs- und Entwicklungsprojekte für transformationsrelevante Innovationen und regionale Innovationscluster;nein;-;500000;6;0;1;Neue Mobilität
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;68321;165;Entwicklung digitaler Technologien;nein;21;115828;6;116578;2;Digitale Agenda
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;68623;692;Potenziale der digitalen Wirtschaft;nein;23;36045;8;36795;2;Digitale Agenda
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;68331;165;Forschungsförderung von Technologievorhaben der zivilen Luftfahrt - Förderung von Einzelvorhaben;nein;28;178366;9;178366;3;Luft- und Raumfahrt
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;68333;165;Erweiterung und Betrieb des Raumfahrttestzentrums bei der Industrieanlagen-Betriebsgesellschaft mbH (IABG);nein;31;620;10;620;3;Luft- und Raumfahrt
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;68531;164;Deutsches Zentrum für Luft- und Raumfahrt e. V. - Betrieb;nein;31;521619;10;471619;3;Luft- und Raumfahrt
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);901;Innovation, Technologie und Neue Mobilität;89231;634;Beschleunigte Modernisierung von Luftfahrzeugflotten - Innovationsprämie Luftfahrt;nein;-;100000;11;0;3;Luft- und Raumfahrt
9;Bundesministerium für Wirtschaft und Energie;A;Ausgaben für Investitionen;902;Mittelstand: Gründen, Wachsen, Investieren;88201;691;"Zuweisungen für betriebliche Investitionen und wirtschaftsnahe Infrastrukturmaßnahmen im Rahmen der Gemeinschaftsaufgabe ""Verbesserung der regionalen Wirtschaftsstruktur"" (GRW)";nein;47;850000;14;600000;;
9;Bundesministerium für Wirtschaft und Energie;A;Sächliche Verwaltungsausgaben;903;Energie und Nachhaltigkeit;52602;643;Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen;nein;53;28028;16;19628;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);903;Energie und Nachhaltigkeit;68301;165;Energieforschung;nein;54;540730;17;537730;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);903;Energie und Nachhaltigkeit;69701;661;Ausgaben im Zusammenhang mit dem Zwischenerwerb und Verkauf von 50Hertz-Anteilen durch die KfW;nein;57;5250;18;13650;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);904;Chancen der Globalisierung;68707;649;Wasserstoffstrategie Außenwirtschaft - Internationale Kooperation Wasserstoff;nein;-;200000;20;0;;
9;Bundesministerium für Wirtschaft und Energie;A;Sächliche Verwaltungsausgaben;910;Sonstige Bewilligungen;52602;11;Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen;nein;-;10000;22;0;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);910;Sonstige Bewilligungen;68301;45;Innovation Persönliche Schutzausrüstung (PSA);nein;-;4000;22;0;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);910;Sonstige Bewilligungen;68302;45;Pandemievorsorge;nein;-;72000;23;0;;
9;Bundesministerium für Wirtschaft und Energie;A;Zuweisungen und Zuschüsse (ohne Investitionen);910;Sonstige Bewilligungen;68303;680;Förderung der digitalen Transformation des Verlagswesens zur Förderung des Absatzes und der Verbreitung von Abonnementzeitungen, -zeitschriften und Anzeigeblättern;nein;-;20000;23;0;;
9;Bundesministerium für Wirtschaft und Energie;A;Ausgaben für Investitionen;910;Sonstige Bewilligungen;89201;45;Investitionszuschüsse zur Ausweitung der Produktion von Vorprodukten für die Herstellung von medizinischen Schutzgütern;nein;-;10000;24;0;;
9;Bundesministerium für Wirtschaft und Energie;A;Ausgaben für Investitionen;910;Sonstige Bewilligungen;89202;45;Investitionszuschüsse für Produktionsanlagen von persönlicher Schutzausrüstung und dem Patientenschutz dienender Medizinprodukte;nein;-;40000;24;0;;
9;Bundesministerium für Wirtschaft und Energie;A;Ausgaben für Investitionen;910;Sonstige Bewilligungen;89203;45;Europäisches Vorhaben Persönliche Schutzausrüstung (PSA);nein;-;4000;25;0;;
9;Bundesministerium für Wirtschaft und Energie;A;Ausgaben für Investitionen;910;Sonstige Bewilligungen;89204;45;COVID-19-Programm Testausstattung und Vorprodukte;nein;-;20000;25;0;;
9;Bundesministerium für Wirtschaft und Energie;A;;911;Zentral veranschlagte Verwaltungseinnahmen und -ausgaben;52602;11;Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen;ja;91;4636;28;4336;;
9;Bundesministerium für Wirtschaft und Energie;A;;912;Bundesministerium;42709;11;Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige;ja;97;4690;30;3190;;
10;Bundesministerium für Ernährung und Landwirtschaft;A;Ausgaben für Investitionen;1010;Sonstige Bewilligungen;89202;523;Investitionsförderung für den Stallumbau zur Gewährleistung des Tierwohls;nein;-;100000;4;0;;
10;Bundesministerium für Ernährung und Landwirtschaft;A;Ausgaben für Investitionen;1010;Sonstige Bewilligungen;68312;523;Maßnahmen zum Erhalt und zur nachhaltigen Bewirtschaftung der Wälder;nein;-;170000;5;0;1;Konjunkturmaßnahmen Wald und Holz
10;Bundesministerium für Ernährung und Landwirtschaft;A;Ausgaben für Investitionen;1010;Sonstige Bewilligungen;68313;523;Förderung von klimafreundlichem Bauen mit Holz;nein;-;30000;5;0;1;Konjunkturmaßnahmen Wald und Holz
10;Bundesministerium für Ernährung und Landwirtschaft;A;Ausgaben für Investitionen;1010;Sonstige Bewilligungen;89211;523;Investitionsprogramm Wald und Holz;nein;-;30000;5;0;1;Konjunkturmaßnahmen Wald und Holz
11;Bundesministerium für Arbeit und Soziales;A;;1101;Leistungen nach dem Zweiten und Dritten Buch Sozialgesetzbuch und gleichartige Leistungen;63211;252;Beteiligung des Bundes an den Leistungen für Unterkunft und Heizung;nein;11;12400000;4;9000000;1;Leistungen der Grundsicherung für Arbeitsuchende
11;Bundesministerium für Arbeit und Soziales;A;;1101;Leistungen nach dem Zweiten und Dritten Buch Sozialgesetzbuch und gleichartige Leistungen;85622;225;Überjähriges Darlehen an die Bundesagentur für Arbeit;nein;14;9300000;4;0;2;Darlehen und sonstige Leistungen an die Bundesagentur für Arbeit
11;Bundesministerium für Arbeit und Soziales;A;Zuweisungen und Zuschüsse (ohne Investitionen);1105;Förderung der Inklusion von Menschen mit Behinderungen;68407;235;Zuschüsse für Einrichtungen der Behindertenhilfe und Inklusionsunternehmen;nein;-;100000;6;0;;
11;Bundesministerium für Arbeit und Soziales;A;;1106;Maßnahmen des Bundes mit Beteiligung Europäischer Fonds (ESF, EGF, EHAP) sowie sonstige internationale Angelegenheiten;68431;253;Förderung der Arbeitnehmerfreizügigkeit der in Deutschland tätigen Arbeitskräfte aus der Europäischen Union;nein;49;2575;8;2075;3;Internationale Angelegenheiten auf dem Gebiet der Arbeits- und Sozialpolitik
11;Bundesministerium für Arbeit und Soziales;A;;1110;Sonstige Bewilligungen;68301;680;Förderung der Zusteller von Abonnementzeitungen und Anzeigenblättern;nein;63;0;10;40000;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;;1201;Bundesfernstraßen;74111;721;Bedarfsplanmaßnahmen (Bundesautobahnen);nein;15;1359554;4;1109554;1;Bau, Erhaltung und Betrieb der Bundesfernstraßen
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;;1201;Bundesfernstraßen;74132;721;Erhaltung (Bundesautobahnen);nein;16;2947134;4;2517134;1;Bau, Erhaltung und Betrieb der Bundesfernstraßen
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Ausgaben für Investitionen;1202;Bundesschienenwege;83101;742;Erhöhung des Eigenkapitals der Deutschen Bahn AG;nein;34;6000000;6;1000000;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Ausgaben für Investitionen;1202;Bundesschienenwege;89109;742;Förderinitiative zur Attraktivitätssteigerung und Barrierefreiheit von Bahnhöfen;nein;39;75100;6;35100;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;E;Verwaltungseinnahmen;1203;Bundeswasserstraßen;11101;712;Gebühren, sonstige Entgelte; ;45;16100;8;26100;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Ausgaben für Investitionen;1203;Bundeswasserstraßen;78002;731;Ersatz-﻿, Aus- und Neubaumaßnahmen an Bundeswasserstraßen;nein;50;459518;8;459518;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Ausgaben für Investitionen;1203;Bundeswasserstraßen;81102;731;Beschaffung von Fahrzeugen und Geräten für die maritime Notfallvorsorge;nein;53;75000;8;75000;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Zuweisungen und Zuschüsse (ohne Investitionen);1204;Digitale Infrastruktur;68201;692;Verwaltungsausgaben der Mobilfunkinfrastrukturgesellschaft und Umsetzung der Mobilfunkstrategie der Bundesregierung;nein;59;5000;10;5000;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Zuweisungen und Zuschüsse (ohne Investitionen);1204;Digitale Infrastruktur;68302;692;Umrüstung des GSM-R-Funksystems zur Erhöhung der Störfestigkeit;nein;59;43000;10;18000;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Ausgaben für Investitionen;1204;Digitale Infrastruktur;83101;692;Beteiligung des Bundes an der Mobilfunkinfrastrukturgesellschaft;nein;60;25;10;25;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Ausgaben für Investitionen;1204;Digitale Infrastruktur;89201;731;Digitale Testfelder in Häfen, an Wasserstraßen und Bahnstrecken;nein;61;20500;11;20500;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Zuweisungen und Zuschüsse (ohne Investitionen);1210;Sonstige Bewilligungen;68306;290;Vorübergehende Beihilfen für Vorhaltekosten für Kraftomnibusse, die ausschließlich im Gelegenheitsverkehr eingesetzt werden;nein;-;170000;13;0;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;97205;880;Globale Minderausgabe;nein;90;-215904;13;-27904;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;98101;890;Leistungen an Bundesbehörden zur Durchführung von Aufträgen;nein;90;0;13;0;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;68315;732;Nachhaltige Modernisierung für die Küstenschifffahrt;nein;91;0;13;0;1;Schifffahrtsförderung
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;68613;165;Deutsches Maritimes Zentrum in Hamburg;nein;92;3000;13;3000;1;Schifffahrtsförderung
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;68614;731;Vorübergehende Beihilfen für Seelotsen zur Sicherung des Seelotswesens;nein;-;8000;13;0;1;Schifffahrtsförderung
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;74111;722;Bedarfsplanmaßnahmen gemäß Anlage 5 Investitionsgesetz Kohleregionen - InvKG (Bundesstraßen);nein;-;0;14;0;10;Maßnahmen zur Förderung der Kohleregionen gemäß Anlagen 4 und 5 zum Investitionsgesetz Kohleregionen - InvKG
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;74112;722;Maßnahmen außerhalb des Bedarfsplans gemäß Anlage 4 Investitionsgesetz Kohleregionen - InvKG (Bundesstraßen);nein;-;0;14;0;10;Maßnahmen zur Förderung der Kohleregionen gemäß Anlagen 4 und 5 zum Investitionsgesetz Kohleregionen - InvKG
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;82111;722;Grunderwerb für Bedarfsplanmaßnahmen gemäß Anlage 5 Investitionsgesetz Kohleregionen - InvKG (Bundesstraßen);nein;-;0;14;0;10;Maßnahmen zur Förderung der Kohleregionen gemäß Anlagen 4 und 5 zum Investitionsgesetz Kohleregionen - InvKG
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;82112;722;Grunderwerb für Maßnahmen außerhalb des Bedarfsplans gemäß Anlage 4 Investitionsgesetz Kohleregionen - InvKG (Bundesstraßen);nein;-;0;14;0;10;Maßnahmen zur Förderung der Kohleregionen gemäß Anlagen 4 und 5 zum Investitionsgesetz Kohleregionen - InvKG
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;89111;721;"Investitionszuschuss an die ""Die Autobahn GmbH des Bundes"" für Bedarfsplanmaßnahmen gemäß Anlage 5 Investitionsgesetz Kohleregionen - InvKG (Bundesautobahnen)";nein;-;0;14;0;10;Maßnahmen zur Förderung der Kohleregionen gemäß Anlagen 4 und 5 zum Investitionsgesetz Kohleregionen - InvKG
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;89112;721;"Investitionszuschuss an die ""Die Autobahn GmbH des Bundes"" für Maßnahmen außerhalb des Bedarfsplans gemäß Anlage 4 Investitionsgesetz Kohleregionen InvKG (Bundesautobahnen)";nein;-;0;14;0;10;Maßnahmen zur Förderung der Kohleregionen gemäß Anlagen 4 und 5 zum Investitionsgesetz Kohleregionen - InvKG
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;89113;742;Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes für Bedarfsplanmaßnahmen gemäß Anlage 5 Investitionsgesetz Kohleregionen - InvKG;nein;-;0;14;0;10;Maßnahmen zur Förderung der Kohleregionen gemäß Anlagen 4 und 5 zum Investitionsgesetz Kohleregionen - InvKG
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;Besondere Finanzierungsausgaben;1210;Sonstige Bewilligungen;89114;742;Baukostenzuschüsse für Investitionen in die Schienenwege der Eisenbahnen des Bundes für Maßnahmen außerhalb des Bedarfsplans gemäß Anlage 4 Investitionsgesetz Kohleregionen - InvKG;nein;-;0;14;0;10;Maßnahmen zur Förderung der Kohleregionen gemäß Anlagen 4 und 5 zum Investitionsgesetz Kohleregionen - InvKG
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;;1212;Bundesministerium;42201;11;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;ja;113;56406;16;57706;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;;1212;Bundesministerium;51701;11;Bewirtschaftung der Grundstücke, Gebäude und Räume;ja;114;2760;16;5060;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;;1212;Bundesministerium;52701;11;Dienstreisen;ja;114;2247;16;3247;;
12;Bundesministerium für Verkehr und digitale Infrastruktur;A;;1212;Bundesministerium;81202;11;Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik;ja;115;6965;16;2365;;
14;Bundesministerium der Verteidigung;A;Militärische Beschaffungen, Anlagen usw.;1405;Militärische Beschaffungen;55401;32;Beschaffung von Sanitätsgerät sowie Beschaffung und Erneuerung der Vorräte an Arznei- und Verbandmitteln, Brillen und sonstigem Sanitätsverbrauchsmaterial;nein;50;583000;4;190000;;
14;Bundesministerium der Verteidigung;A;Militärische Beschaffungen, Anlagen usw.;1406;Materialerhaltung der Bundeswehr;55301;32;Erhaltung des Sanitätsgeräts;nein;63;145000;6;165000;;
14;Bundesministerium der Verteidigung;A;;1413;Bundeswehrverwaltung, Universitäten der Bundeswehr, Militärseelsorge usw.;54401;32;Forschung, Untersuchungen und Ähnliches;ja;-;70000;8;0;;
15;Bundesministerium für Gesundheit;A;Zuweisungen und Zuschüsse (ohne Investitionen);1501;Gesetzliche Krankenversicherung;63201;314;Ausgleichszahlungen nach § 21 des Krankenhausfinanzierungsgesetzes;nein;-;11500000;4;0;;
15;Bundesministerium für Gesundheit;A;Zuweisungen und Zuschüsse (ohne Investitionen);1501;Gesetzliche Krankenversicherung;63603;290;Leistungen des Bundes an den Gesundheitsfonds für SARS-CoV-2-Pandemie verursachte Belastungen;nein;-;3500000;4;0;;
15;Bundesministerium für Gesundheit;A;Ausgaben für Investitionen;1501;Gesetzliche Krankenversicherung;86302;224;Unterjährige Liquiditätshilfen an den Gesundheitsfonds;nein;7;0;4;0;;
15;Bundesministerium für Gesundheit;A;Zuweisungen und Zuschüsse (ohne Investitionen);1502;Pflegevorsorge und sonstige soziale Sicherung;63602;290;Leistungen des Bundes an den Ausgleichsfonds der Pflegeversicherung für SARS-CoV-2-Pandemie verursachte Belastungen;nein;-;1800000;6;0;;
15;Bundesministerium für Gesundheit;A;Zuweisungen und Zuschüsse (ohne Investitionen);1503;Prävention und Gesundheitsverbände;68403;314;Zuschüsse zur Bekämpfung des Ausbruchs des neuen Coronavirus;nein;-;9100000;8;3108000;;
